user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
1,Female,54.0,CA,Free,26,23.0,0.2,Desktop,31,0,1
2,Other,33.0,DE,Family,141,62.0,0.34,Web,0,1,0
3,Male,38.0,AU,Premium,199,38.0,0.04,Mobile,0,1,0
4,Female,22.0,CA,Student,36,,0.31,Mobile,0,1,1
5,Other,29.0,US,Family,250,57.0,0.36,Mobile,0,1,0
6,Female,17.0,AU,Free,219,35.0,0.46,Desktop,13,0,1
7,Female,39.0,UK,Premium,289,44.0,0.38,Desktop,0,1,0
8,Female,41.0,UK,Free,210,68.0,0.11,Mobile,5,0,1
9,Other,55.0,DE,Student,50,66.0,0.29,Web,0,1,1
10,Male,44.0,DE,Free,278,94.0,0.38,Mobile,44,0,1
11,Other,33.0,DE,,86,44.0,0.11,Web,37,0,1
12,Other,24.0,CA,Free,113,24.0,0.56,,39,0,0
13,Female,37.0,IN,Family,24,86.0,0.11,Desktop,0,1,0
14,Female,53.0,US,Premium,45,47.0,0.6,Web,0,1,1
15,Other,37.0,IN,Family,114,13.0,0.44,Web,0,1,1
16,Male,25.0,,Student,230,25.0,0.26,Desktop,0,1,1
17,Female,36.0,DE,Student,181,93.0,0.23,Mobile,0,1,1
18,Male,58.0,US,Family,120,8.0,0.41,Desktop,0,1,1
19,Female,34.0,DE,Family,160,32.0,0.35,Mobile,0,1,1
20,Male,35.0,UK,Student,281,,0.35,Desktop,0,1,1
21,Female,33.0,AU,,138,60.0,0.6,Web,0,1,1
22,Male,49.0,AU,,20,7.0,0.45,Desktop,0,1,1
23,Female,45.0,PK,Family,138,95.0,0.1,Desktop,0,1,0
24,Male,,CA,Family,134,97.0,0.42,Web,0,1,0
25,Other,32.0,CA,Premium,133,22.0,0.59,,0,1,1
26,Female,19.0,US,Student,39,29.0,0.53,Desktop,0,1,1
27,Male,28.0,IN,Premium,293,67.0,0.33,Mobile,23,0,0
28,Other,58.0,FR,Free,15,55.0,0.3,Mobile,35,0,1
29,Male,33.0,FR,Free,123,13.0,0.22,Desktop,7,0,1
30,Female,22.0,FR,Premium,18,12.0,0.39,Mobile,0,1,1
31,Other,44.0,UK,Premium,149,45.0,0.22,,0,1,0
32,Male,53.0,US,Student,72,12.0,0.17,Web,0,1,1
33,Female,49.0,IN,Premium,291,74.0,0.11,Mobile,0,1,0
34,Male,,US,Family,147,52.0,0.43,Web,0,1,0
35,Female,55.0,FR,Premium,18,2.0,0.04,Mobile,0,1,0
36,Other,24.0,DE,Free,59,53.0,0.18,Web,28,0,1
37,Male,22.0,DE,Student,280,99.0,0.29,Desktop,0,1,0
38,Female,,US,Family,117,98.0,0.04,Mobile,0,1,0
39,Female,42.0,DE,Family,47,59.0,0.06,,0,1,0
40,Male,17.0,DE,Family,260,44.0,0.5,Desktop,0,1,1
41,Female,51.0,UK,Premium,122,16.0,0.54,Desktop,0,1,1
42,Female,46.0,US,Student,255,14.0,0.39,Desktop,0,1,1
43,Male,22.0,DE,Family,49,39.0,0.51,Mobile,0,1,1
44,Male,37.0,DE,Family,90,89.0,0.4,Mobile,0,1,0
45,Male,39.0,PK,Family,288,69.0,0.48,Web,0,1,0
46,Female,18.0,,Premium,255,3.0,0.39,,0,1,0
47,Female,56.0,CA,Premium,255,75.0,0.58,Desktop,0,1,0
48,Male,58.0,US,Family,26,23.0,0.08,Mobile,0,1,0
49,Other,59.0,US,,238,60.0,0.29,Desktop,0,1,0
50,Male,50.0,PK,Free,241,7.0,0.56,Desktop,22,0,1
51,Female,45.0,CA,Premium,124,98.0,0.36,Desktop,0,1,0
52,Other,56.0,FR,Premium,175,67.0,0.38,Web,0,1,0
53,Female,38.0,AU,,41,3.0,0.0,Desktop,43,0,0
54,Male,57.0,,Premium,222,96.0,0.26,Web,15,0,0
55,Female,46.0,UK,Family,121,71.0,0.32,Desktop,0,1,0
8001,Female,41.0,IN,Family,277,2.0,0.59,Web,0,1,0
57,Other,19.0,IN,Free,107,82.0,0.11,Desktop,12,0,1
58,Female,48.0,FR,Student,198,63.0,0.23,,0,1,1
59,Other,22.0,DE,Free,59,51.0,0.42,Desktop,19,0,1
60,Other,17.0,IN,Student,95,79.0,0.53,Web,0,1,1
61,Female,25.0,,Premium,262,23.0,0.17,Web,0,1,0
62,Other,,,Student,169,26.0,0.56,Mobile,0,1,1
8002,Other,59.0,IN,Free,25,32.0,0.2,Mobile,38,0,1
64,Female,45.0,CA,Premium,55,67.0,0.51,Mobile,0,1,1
65,Male,45.0,,Premium,161,42.0,0.4,Desktop,0,1,0
66,Female,,FR,Family,77,42.0,0.56,Web,0,1,1
67,Male,45.0,DE,Free,152,32.0,0.49,,14,0,1
68,Female,45.0,UK,Free,156,51.0,0.14,Desktop,18,0,1
69,Other,22.0,AU,Student,99,43.0,0.17,Desktop,0,1,1
70,Female,56.0,US,Free,181,40.0,0.21,Mobile,10,0,0
71,Female,51.0,AU,Student,265,81.0,0.36,Web,0,1,1
72,Female,22.0,AU,Family,131,70.0,0.35,Web,0,1,0
73,Other,33.0,CA,Student,19,68.0,0.32,Desktop,0,1,1
74,Female,59.0,AU,Family,201,15.0,0.05,Mobile,0,1,0
75,Male,41.0,DE,,223,53.0,0.33,Web,0,1,0
